name,longitude,latitude,price,streetAddress,postcode,house_type
"Hudson River Views, 2 bed 2 bath $3644 *******",-73.9507,40.8246,"$3,644 ",,10031,Apartment
beautiful Huge 2BR with #GARDEN Bedstuy !❤🐱‍🐉🐱‍👓🎁❤🎁,-73.946727,40.682914,"$2,660 ",hancock st,11216,Apartment
"Beautiful 1BR 1Bath,Crown Height next to the A,C train",-73.947647,40.670597,"$1,850 ",New york ave,11213,Apartment
Living by the River.... 2 Bed $2590!!!!!!!!!!!,-73.9507,40.8246,"$2,590 ",,10031,Apartment
"Pet friendly 1,200 sqft 1bd with home office (2bd option), W/D in unit",-73.9858,40.7651,"$3,150 ",W50th St,10101,Apartment
"$1,5oo Pet Freindly STUDIO w/Rooftop",-73.924009,40.74499,$1 ,,11104,Apartment
"$1,5oo ALL UTILITIES INCLUDED - 1br",-73.891215,40.745765,$1 ,,11372,Apartment
----2 MO FREE---NO FEE---LUXURY 2 BED 2 BATH---PRIME LIC----PRIVATE TE,-73.95768,40.744644,"$3,995.00 ",,11109,Apartment
"$1,6oo 1Bed 1Bath w/All Utilities Included",-73.899631,40.741378,$1 ,,11377,Apartment
"⎝NO FEE! -1 stop from city-Views-Waterfront Lux PH 1 Br*Gym,Pool,Deck*",-73.967353,40.715233,"$3,888 ",Kent Ave,10158,Apartment
⎝NO FEE+2 Mth Free : Views + LUXURY=Spacious 1 br*Pool+Sundeck+Gym*,-73.998413,40.760872,"$3,171 ",W 42 St,10018,Apartment
Hells Kitchen/Columbus Circle 1B1B $3180 Nov move-in,-73.984873,40.763657,"$3,180 ",888 8th Ave,10101,Apartment
apartment 2 bedroom,-73.9216,40.7436,"$2,200 ",45,11104,Apartment
"⎝NO FEE+2 Months Free =LUX RENO Spacious Studio >Sundeck, Gym, View<",-73.99734,40.756295,"$2,142 ",West 37 St,10018,Apartment
⭐⭐�?HUGE 2BR <~~~~~~~~~~~~~ w/ OUTDOOR SPACE ⭐⭐�?-73.918,40.7006,"$2,300 ",Weirfield st.,11237,Apartment,
Large 875 ft2 1 br on central UES,-73.962929,40.766559,"$2,875 ",3rd avenue,10065,Apartment
Large 1 Bedroom / 1.5 Bath with wrap around Terrance,-73.974044,40.747296,"$3,550 ",38th st,10016,Apartment
"⎝NO FEE! - 1 stop from city- Waterfront Luxury 2 br *Gym,Views,Deck*",-73.942462,40.748653,"$4,000 ",Crescent St,11101,Apartment
"⎝NO FEE+2 Mths Free > LUX RENO Flex 4 BR >Sundeck, Pool, Gym, View<",-73.947515,40.765065,"$4,885 ",River Road,10162,Apartment
⭐⭐�?1BR~ BRaND NeW~  •laundry �?backyard �?15mins NYC<~~~~~~~~~~~~,-73.9069,40.745,"$1,950 ",58st,11377,Apartment
�?**1CUARTO APARTAMENTO ***�?-73.8438,40.6588,"$1,500 ",78st,11414,Apartment,
3 Bedroom apt with huge common living space!!,-73.9349,40.6505,"$2,350 ",E 46,11203,Apartment
1 Bedroom Apartment in Forest Hills,-73.8473,40.7229,"$1,725 ",,11375,Apartment
⭐Walk In Studio $1300<~~~~~~~~~~~~~~~~~~~~~~~~~READY NOW⭐⭐�?-73.8195,40.728,"$1,300 ",Union tpke,11367,Apartment,
"⎝NO FEE + 3 MONTH FREE! > UWS ULTRA LUX 1 br >Sundeck, Gym, View<",-73.983285,40.775114,"$3,282 ",West 67th St,10023,Apartment
No fee ___ Spectacular 3BR / 2BA for rent __ Private BACKYARD ____,-73.952768,40.675355,"$3,620 ",St Marks Av,11216,Apartment
No fee ___ Spectacular 3BR / 2BA duplex __ Private BACKYARD ____,-73.919256,40.712006,"$3,499 ",Charlotte St,11247,Apartment
Beautiful no fee apt with Backyard ☀️�?in the heart of Bed Stuy,-73.946727,40.682914,"$2,600 ",Hancock Street,11216,Apartment
⭐HUGE + RENOVATED 2BR w/ OUTDOOR SPACE<~~~~ ⭐⭐�?-73.918,40.7006,"$2,300 ",weirfield,11237,Apartment,
NICE BIG ROOMS W/BALCONY * GOOD BUILDING,-73.943428,40.71677,"$2,275 ",Jackson St,11211,Apartment
"NO FEE + One month Free! Spacious 3 Bd with W/D; 4/5/6, L & N/Q/R Line",-73.9796,40.7262,"$4,500 ",,10009,Apartment
